symbol,name,sector,industry,market_cap
PLPC,Preformed Line Products Company,Industrials,Electrical Equipment,Small Cap
PLSE,"Pulse Biosciences, Inc.",Health Care,Health Care Equipment & Supplies,Small Cap
PLTR,Palantir Technologies Inc. Class A,Information Technology,Software,Mega Cap
PLUG,Plug Power Inc.,Industrials,Electrical Equipment,Mid Cap
PLUS,ePlus inc.,Information Technology,Software,Mid Cap
PLXS,Plexus Corp.,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
PLYA,Playa Hotels & Resorts N.V.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
PM,Philip Morris International Inc.,Consumer Staples,Tobacco,Mega Cap
PNRG,PrimeEnergy Resources Corporation,Energy,"Oil, Gas & Consumable Fuels",Small Cap
PNTG,Pennant Group Inc,Health Care,Health Care Equipment & Supplies,Small Cap
PODD,Insulet Corporation,Health Care,Health Care Technology,Large Cap
POOL,Pool Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
POR,Portland General Electric Company,Industrials,Machinery,Mid Cap
POST,"Post Holdings, Inc.",Consumer Staples,Food & Staples Retailing,Mid Cap
POWI,"Power Integrations, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment,Mid Cap
POWWP,Outdoor Holding Company - 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock,Industrials,Aerospace & Defense,Mid Cap
PPC,Pilgrim's Pride Corporation,Consumer Staples,Food & Staples Retailing,Large Cap
PPD,"PPD, Inc.",Health Care,Pharmaceuticals,Large Cap
PPG,"PPG Industries, Inc.",Materials,Chemicals,Large Cap
PPLI,People Incorporated Common Stock,Communication Services,Diversified Telecommunication Services,Mid Cap
PPTA,Perpetua Resources Corp.,Materials,Metals & Mining,Mid Cap
PR,Permian Resources Corporation Class A Common Stock,Energy,"Oil, Gas & Consumable Fuels",Large Cap
PRAH,"PRA Health Sciences, Inc.",Health Care,Biotechnology,Large Cap
PRAX,"Praxis Precision Medicines, Inc.",Health Care,Biotechnology,Mid Cap
PRCH,Porch Group Inc.,Information Technology,Software,Small Cap
PRCT,PROCEPT BioRobotics Corporation Common Stock,Health Care,Biotechnology,Small Cap
PRDO,Perdoceo Education Corporation,Consumer Staples,Household Products,Mid Cap
PRFT,"Perficient, Inc.",Information Technology,IT Services,Mid Cap
PRG,"PROG Holdings, Inc.",Industrials,Commercial Services & Supplies,Small Cap
PRGS,Progress Software Corporation,Information Technology,Software,Small Cap
PRIM,Primoris Services Corporation,Industrials,Construction & Engineering,Mid Cap
PRKS,United Parks & Resorts Inc. Common Stock,Health Care,Health Care Technology,Small Cap
PRLB,"Proto Labs, Inc.",Industrials,Building Products,Small Cap
PRM,Perimeter Solutions SA Ordinary Shares,Communication Services,Diversified Telecommunication Services,Mid Cap
PRME,Prime Medicine Inc. Common Stock,Health Care,Biotechnology,Small Cap
PROK,ProKidney Corp. Class A Ordinary Shares,Health Care,Biotechnology,Small Cap
PRSP,Perspecta Inc.,Information Technology,IT Services,Mid Cap
PRSU,Pursuit Attractions and Hospitality Inc. Common Stock,Industrials,Professional Services,Small Cap
PRTC,PureTech Health plc,Health Care,Biotechnology,Small Cap
PRTH,"Priority Technology Holdings, Inc.",Information Technology,IT Services,Small Cap
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Providers & Services,Mid Cap
PSKY,Paramount Skydance Corporation Class B Common Stock,Communication Services,Media,Large Cap
PSMT,"PriceSmart, Inc.",Consumer Staples,Household Products,Mid Cap
PSN,Parsons Corporation,Industrials,Machinery,Mid Cap
PSNL,"Personalis, Inc.",Health Care,Biotechnology,Small Cap
PSX,Phillips 66,Energy,"Oil, Gas & Consumable Fuels",Large Cap
PTC,PTC Inc.,Information Technology,Software,Large Cap
PTCT,"PTC Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
PTEN,"Patterson-UTI Energy, Inc.",Energy,"Oil, Gas & Consumable Fuels",Mid Cap
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology,Mid Cap
PTLO,Portillo's Inc. Class A Common Stock,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
PTON,"Peloton Interactive, Inc. Class A",Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
PTRN,Pattern Group Inc. Series A Common Stock,Information Technology,Software,Small Cap
PUBM,"PubMatic, Inc.",Information Technology,Software,Small Cap
PUMP,ProPetro Holding Corp.,Energy,Energy Equipment & Services,Small Cap
PURR,Hyperliquid Strategies Inc Common Stock,Health Care,Biotechnology,Small Cap
PVH,PVH Corp.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
PVLA,Palvella Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
PWFL,"PowerFleet, Inc.",Information Technology,Communications Equipment,Small Cap
PWR,"Quanta Services, Inc.",Industrials,Construction & Engineering,Large Cap
PXED,Phoenix Education Partners Inc. Common Stock,Consumer Staples,Household Products,Small Cap
PZZA,"Papa John's International, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
QBTS,D-Wave Quantum Inc. Common Shares,Information Technology,Software,Mid Cap
QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
QDEL,QuidelOrtho Corporation,Health Care,Biotechnology,Small Cap
QLYS,"Qualys, Inc.",Information Technology,Software,Mid Cap
QMLS,QumulusAI Inc. Common Stock,Information Technology,Software,Small Cap
QNST,"QuinStreet, Inc.",Communication Services,Diversified Telecommunication Services,Small Cap
QNT,Quantinuum Inc. Class A Common Stock,Information Technology,Software,Small Cap
QRVO,"Qorvo, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
QS,QuantumScape Corporation,Consumer Discretionary,Auto Components,Mid Cap
QTRX,Quanterix Corporation,Health Care,Health Care Technology,Small Cap
QTWO,"Q2 Holdings, Inc.",Information Technology,Software,Mid Cap
QUAD,"Quad/Graphics, Inc.",Industrials,Professional Services,Small Cap
QVCGB,QVC Group Inc.,Consumer Discretionary,,Small Cap
QXO,QXO Inc. Common Stock,Information Technology,Software,Large Cap
R,"Ryder System, Inc.",Information Technology,Software,Mid Cap
RAMP,"LiveRamp Holdings, Inc.",Information Technology,IT Services,Small Cap
RAPP,Rapport Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
RARE,Ultragenyx Pharmaceutical Inc.,Health Care,Biotechnology,Mid Cap
RBBN,"Ribbon Communications, Inc.",Communication Services,Diversified Telecommunication Services,Small Cap
RBLX,Roblox Corporation,Communication Services,Interactive Media & Services,Large Cap
RBRK,Rubrik Inc. Class A Common Stock,Information Technology,Software,Large Cap
RCAT,"Red Cat Holdings, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Small Cap
RCKT,"Rocket Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
RCKY,"Rocky Brands, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,Mid Cap
RDDT,Reddit Inc. Class A Common Stock,Communication Services,Interactive Media & Services,Large Cap
RDNT,"RadNet, Inc.",Health Care,Biotechnology,Mid Cap
RDVT,"Red Violet, Inc.",Information Technology,Software,Small Cap
RDW,Redwire Corporation Common Stock,Industrials,Aerospace & Defense,Small Cap
REAL,"The RealReal, Inc.",Consumer Discretionary,Specialty Retail,Small Cap
